Line,1,2,3,4,5,6,7,8,9,10
t61,1875.4880816901418,4660.901458636843,3813.4011248303696,7295.2540494197265,204.41717373603652,8166.230941949516,442.2154994193583,-1266.2667665024633,-1256.5114367226636,0.0
t62,1817.4762455111354,4094.339102626166,1748.0919017460246,7226.7552128732295,1764.6585945988702,6841.750611003416,1865.0296701990442,-1031.0147685282009,-980.7272400599013,0.0
t63,1727.9113674460332,4298.681572962079,2582.488149324072,6956.208216612341,1357.6635334995744,7347.4662863921085,1829.3543024179091,-1000.823822369018,-1707.9421107021485,0.0
t64,1875.4880816901416,4163.2955496263385,1526.0092729849446,4485.718094281051,-1335.0631851540534,7332.921729436604,1420.2400327878,-1238.2519379738703,-3372.665473847214,0.0
t65,1389.5514601600485,1653.8213019863842,0.0,1855.3834403504327,-2700.0,5974.731966356852,1022.9861414364563,-290.383381729304,-3736.7509936758443,0.0
t66,-200.7799327445608,2234.377159845338,0.0,3358.7796915952467,-2700.0,7196.243492078917,1347.935751776083,539.7669810039006,-3736.7509936758443,0.0
t67,-214.39534203586203,2322.0855099196756,0.0,2566.816289628575,-2700.0,6836.2747774356385,2584.5734089744406,1523.72992628103,-3736.7509936758443,0.0
t68,-249.69272703586205,2250.0987596658692,0.0,3597.0877256285753,-2700.0,7464.230516356851,329.80823535940584,1400.8456430322992,-3736.750993675844,0.0
t69,1227.0955702183917,2196.5374076800545,0.0,3724.294208628575,-2292.7640622446065,7242.735696356851,2032.374700728492,1671.7385114979736,-3736.7509936758443,0.0
t70,-47.64938776492089,693.5244402525749,-1027.5141003122208,3263.0792228116707,-1732.01600149351,6592.13930135685,886.4800754137282,1444.8687637424316,-3736.750993675844,0.0
t71,99.64012923507948,169.50637903623738,-1201.2290061986087,3569.1390703369875,-2205.882501355818,5942.4955843568505,1980.3939983704572,1378.3925835975322,-3736.7509936758443,0.0
t72,143.3945542350794,946.7709832043878,0.0,3609.7008848731807,-2700.0,5607.08064235685,2584.57340897444,2067.183400290655,-3736.7509936758443,0.0
t73,192.47394423507913,316.6568014785009,0.0,3161.552069873182,-2700.0,5075.729864356852,1215.043173380454,1796.9458987678122,-3736.7509936758443,0.0
t74,242.25082223507943,120.31740655464219,0.0,3012.5486988731805,-2700.0,4888.30614335685,1018.6943449163024,1519.8817891231413,-3736.7509936758443,0.0
